University,CGPA,GRE,TOEFL,IELTS,Gap_year,Ugrad_Major,Work_Experience,Degree,Paper,Funding,Ugrad,Decision
New Jersey Institute of Technology,3.34,298,99,7.1,0,EEE,Full-time Job,MS,1,Full,BUET,Accepted
Missouri State University,4.0,310,91,6.6,0,CSE,Full-time Job,MS,3,Partial,KUET,Accepted
Massachusetts Institute of Technology,3.22,300,85,7.4,0,ME,Full-time Job,MS,3,Partial,CUET,Rejected
Ohio State University,3.41,307,108,7.7,1,CE,None,PhD,3+,None,BUET,Accepted
University of Illinois Urbana-Champaign,3.32,319,105,7.4,1,Biology,Full-time Job,MS,2+,Full,RUET,Rejected
Fordham University,3.19,303,89,6.5,0,Biology,None,MS,0,Full,NSU,Rejected
Purdue University,3.36,310,105,7.1,0,CE,None,PhD,3+,Partial,KUET,Rejected
Mississippi State University,3.52,309,106,7.9,0,Mathematics,Full-time Job,MS,3+,Partial,IUT,Rejected
Michigan State University,3.55,299,111,7.3,0,EEE,None,MS,2,None,NSU,Accepted
Clemson University,3.71,301,102,6.7,2,Biology,Internship,PhD,2+,None,NSU,Accepted
Oklahoma State University,3.53,317,111,7.6,0,Biology,Internship,MS,3+,Full,NSU,Rejected
Texas State University,3.54,305,98,7.1,1,ME,Full-time Job,PhD,2,None,DU,Rejected
University of Florida,3.61,301,91,7.6,0,Mathematics,Full-time Job,MS,3+,Partial,RUET,Accepted
University of Massachusetts Dartmouth,3.14,307,110,6.4,0,CSE,Full-time Job,MS,2,None,KUET,Rejected
Carnegie Mellon University,3.45,326,109,8.2,2,Physics,Full-time Job,PhD,2+,Full,CUET,Rejected
University of Texas at Dallas,3.45,314,110,8.0,0,Mathematics,Internship,PhD,2,Full,BUET,Accepted
University of Texas at Dallas,3.18,318,108,7.1,0,EEE,Full-time Job,MS,3,None,KUET,Rejected
University of Houston,3.72,312,90,7.4,1,Mathematics,Full-time Job,PhD,2+,Full,RUET,Rejected
King Fahd University of Petroleum and Minerals,3.13,297,112,6.9,0,CSE,None,PhD,2,Partial,KUET,Accepted
University of Central Florida,3.53,305,119,7.4,0,Physics,Internship,MS,1,Partial,BUET,Accepted
Northeastern University,3.63,314,81,8.0,1,ME,None,MS,2+,Full,NSU,Accepted
Texas Tech University,3.04,296,93,7.9,1,EEE,Internship,MS,3+,Full,CUET,Rejected
Ohio University,3.05,314,80,7.0,0,ME,Internship,PhD,3+,Partial,KUET,Rejected
Stevens Institute of Technology,3.14,318,88,7.7,0,Biology,Internship,PhD,2+,Partial,IUT,Rejected
Massachusetts Institute of Technology,3.55,322,83,8.1,1,Physics,Internship,PhD,3,Partial,BUET,Rejected
Kansas State University,3.3,304,112,7.7,0,Mathematics,Internship,PhD,1,Partial,CUET,Accepted
The University of Texas at Austin,3.61,311,103,7.1,0,EEE,Internship,PhD,1,Full,BRAC,Accepted
Texas A&M University,3.54,297,120,6.4,2,CE,Internship,PhD,1,Full,BRAC,Accepted
South Dakota State University,3.95,314,90,6.4,0,ME,None,PhD,2,Full,BRAC,Accepted
Texas A&M University,2.99,316,98,7.7,0,EEE,Full-time Job,MS,1,None,BRAC,Rejected
Georgia Institute of Technology,3.99,304,102,7.4,2,Physics,None,MS,3,Full,RUET,Accepted
University of Louisiana at Lafayette,3.07,312,95,8.1,0,Physics,Full-time Job,PhD,3,None,CUET,Rejected
Rensselaer Polytechnic Institute,3.3,312,88,8.5,0,CSE,None,PhD,0,Partial,DU,Accepted
Washington University in St. Louis,3.66,302,85,7.9,0,CSE,Internship,MS,3,Full,RUET,Accepted
University of Tennessee,3.93,301,97,7.4,0,CSE,Internship,PhD,3,Full,DU,Accepted
Pratt Institute,3.56,308,120,7.5,1,Biology,Full-time Job,MS,2+,Partial,BRAC,Accepted
"University of California, Berkeley",3.14,297,87,8.5,1,ME,Full-time Job,MS,2+,Full,CUET,Accepted
University of California Merced,3.58,308,99,7.2,0,Physics,Full-time Job,MS,2,Full,CUET,Accepted
Michigan State University,3.24,312,103,7.2,2,Physics,Full-time Job,MS,2+,None,DU,Accepted
Clemson University,2.94,299,91,8.0,0,Mathematics,Full-time Job,PhD,2+,None,DU,Rejected
Rutgers University,3.32,313,101,6.9,2,EEE,Internship,MS,1,None,DU,Accepted
Louisiana Tech University,3.26,310,97,7.2,2,EEE,Full-time Job,PhD,0,None,DU,Rejected
Rice University,3.43,325,105,7.3,0,CSE,None,PhD,3+,None,DU,Rejected
University of Houston,3.71,307,96,7.8,1,Biology,Internship,PhD,3+,Partial,NSU,Rejected
The University of Texas at Arlington,3.29,303,115,8.5,0,Mathematics,None,MS,0,None,DU,Accepted
University of Houston,3.23,311,106,7.7,0,Physics,None,MS,0,None,IUT,Rejected
University of Houston,2.83,308,107,7.4,0,Mathematics,Internship,MS,1,Partial,NSU,Accepted
University of California San Diego,3.17,308,118,7.6,0,Physics,None,PhD,3+,Partial,NSU,Accepted
Lehigh University,3.42,292,99,7.1,0,CE,Full-time Job,PhD,3+,None,CUET,Accepted
Massachusetts Institute of Technology,3.42,305,80,7.7,2,Physics,None,PhD,2,None,IUT,Rejected
"University of California, Santa Barbara",3.84,297,113,7.5,0,EEE,Full-time Job,MS,0,Partial,CUET,Accepted
Massachusetts Institute of Technology,3.15,322,90,7.0,0,CSE,Full-time Job,PhD,0,Full,CUET,Accepted
University of Washington,3.59,290,103,8.0,1,CSE,Full-time Job,MS,1,Partial,DU,Rejected
Colorado State University,3.59,313,95,8.0,1,EEE,Full-time Job,PhD,0,None,KUET,Rejected
University College Dublin,3.54,317,88,7.5,0,CSE,Internship,PhD,2+,None,DU,Rejected
University of Illinois Urbana-Champaign,2.94,310,119,6.5,0,Physics,None,PhD,2,Partial,BUET,Accepted
Kansas State University,2.92,315,97,7.7,1,CE,Full-time Job,PhD,2+,None,NSU,Rejected
University of Chicago,4.0,320,116,7.0,0,Mathematics,Full-time Job,MS,2+,None,RUET,Accepted
University of Rhode Island,3.03,317,81,7.5,2,Physics,Internship,MS,1,Partial,KUET,Rejected
University of Massachusetts Dartmouth,3.12,312,99,7.4,0,CSE,Internship,PhD,3,Partial,KUET,Rejected
Texas Tech University,3.07,318,116,7.2,0,ME,None,PhD,2,Full,NSU,Accepted
University of Louisiana at Lafayette,3.57,290,85,7.9,0,EEE,None,PhD,3,Full,DU,Accepted
University of California San Diego,2.96,301,117,8.5,0,Biology,None,MS,2,None,BRAC,Rejected
University of Toledo,3.67,311,83,7.3,0,Biology,Full-time Job,PhD,3,Partial,BRAC,Accepted
Auburn University,3.54,318,89,7.6,0,Biology,Internship,MS,3,Full,CUET,Rejected
University of Pennsylvania,3.44,305,89,8.1,0,EEE,Internship,MS,3,Partial,IUT,Rejected
University of Louisiana at Lafayette,3.36,297,94,7.5,0,Mathematics,Full-time Job,MS,3+,Full,KUET,Accepted
"University of Maryland, Baltimore County",3.64,318,116,6.4,0,Physics,Internship,MS,3+,None,NSU,Rejected
Brigham Young University,3.26,316,110,7.2,0,Physics,Internship,MS,2,Partial,BUET,Rejected
Worcester Polytechnic Institute,2.71,312,93,8.0,2,CSE,Full-time Job,PhD,0,Full,DU,Rejected
South Dakota State University,3.66,318,105,8.1,0,EEE,Internship,MS,2,Partial,BRAC,Rejected
Oklahoma State University,3.17,315,107,6.9,0,EEE,Internship,MS,0,None,CUET,Rejected
Missouri State University,2.9,310,80,8.5,0,CSE,Internship,PhD,1,Partial,DU,Rejected
Carnegie Mellon University,3.2,318,115,7.8,0,Biology,Full-time Job,MS,1,Partial,DU,Accepted
Syracuse University,3.06,319,101,8.0,0,CE,Full-time Job,MS,3+,None,RUET,Accepted
North Carolina State University,3.68,290,109,8.3,0,CE,None,MS,3+,None,DU,Accepted
"University of California, Los Angeles",3.64,306,98,6.9,1,Physics,Full-time Job,MS,3+,Full,IUT,Rejected
University of Wisconsin–Madison,3.7,307,105,7.8,0,EEE,Full-time Job,MS,0,Full,KUET,Rejected
Cornell University,3.93,314,98,7.4,0,Physics,Full-time Job,PhD,2,Full,BUET,Accepted
Johns Hopkins University,3.44,311,96,8.2,2,CSE,None,MS,2+,None,BRAC,Accepted
University of Kansas,3.71,300,115,7.9,0,Biology,None,MS,1,Partial,RUET,Accepted
University of Colorado Boulder,3.3,309,92,7.1,0,CE,Full-time Job,PhD,0,Partial,RUET,Rejected
University of North Carolina at Charlotte,3.19,291,89,8.2,0,ME,None,MS,3+,Partial,IUT,Accepted
Dartmouth College,3.29,307,107,6.8,0,Mathematics,Full-time Job,MS,3,Full,KUET,Rejected
University of North Carolina at Charlotte,3.35,309,103,7.7,0,EEE,Internship,MS,2,Partial,KUET,Accepted
University of Idaho,3.56,324,97,7.5,1,CSE,Full-time Job,MS,3+,Full,DU,Accepted
Binghamton University,3.47,312,89,8.6,0,ME,None,MS,3+,Partial,BRAC,Rejected
Rutgers University,2.91,292,94,7.3,0,CSE,None,MS,2+,Partial,CUET,Rejected
Florida State University,3.59,313,100,7.8,0,EEE,Internship,PhD,3,None,CUET,Accepted
University of Texas at Austin,3.17,302,115,6.7,2,Biology,None,MS,0,None,BUET,Accepted
University of Arizona,3.27,303,114,7.4,0,CSE,Internship,PhD,2+,Full,IUT,Rejected
University of California Merced,3.33,319,92,7.9,0,Biology,Internship,MS,1,Full,BUET,Accepted
Stony Brook University,2.79,314,108,7.4,0,Biology,Internship,MS,3+,None,KUET,Accepted
Mississippi State University,3.35,308,80,6.9,1,CE,Full-time Job,MS,3,None,KUET,Accepted
Duke University,3.89,307,107,7.8,0,ME,Internship,PhD,2+,Partial,NSU,Rejected
Universiti Teknologi PETRONAS,3.89,320,90,6.9,1,Biology,Internship,MS,3,None,BRAC,Accepted
The University of Texas at Austin,3.38,307,101,7.9,0,CE,Full-time Job,MS,2,Partial,BRAC,Accepted
University of Idaho,3.32,315,90,7.9,1,Mathematics,Internship,MS,3+,Partial,CUET,Rejected
Worcester Polytechnic Institute,3.68,308,102,7.6,0,Biology,Internship,PhD,1,Partial,NSU,Rejected
Arizona State University,3.68,290,112,8.0,0,CE,Full-time Job,MS,1,Partial,RUET,Accepted
Rutgers University,3.26,318,108,8.3,0,Biology,Full-time Job,PhD,2+,None,RUET,Rejected
University of Texas at Arlington,3.41,297,92,6.5,0,Mathematics,None,PhD,2,Full,KUET,Rejected
University of Washington,3.55,327,96,7.2,2,Biology,Internship,MS,3+,None,CUET,Rejected
Lehigh University,3.19,318,81,8.3,0,Biology,None,PhD,0,None,KUET,Rejected
Illinois Institute of Technology,3.34,302,95,7.4,0,Mathematics,None,PhD,1,Partial,BUET,Rejected
The University of Texas at Austin,4.0,313,93,7.6,2,CSE,Internship,MS,1,Full,NSU,Rejected
Binghamton University,2.93,313,92,7.9,0,CE,None,PhD,2,Full,BUET,Accepted
Texas A&M University,3.96,296,88,7.8,0,CSE,Internship,PhD,3+,None,CUET,Accepted
Ohio University,2.99,310,101,7.9,0,Physics,Full-time Job,PhD,1,Partial,KUET,Rejected
Purdue University,3.63,313,98,8.2,0,EEE,Internship,MS,2,Full,BUET,Accepted
Brigham Young University,3.03,302,80,7.9,0,Physics,Full-time Job,PhD,2+,None,KUET,Rejected
University of Washington,3.07,308,109,8.0,0,Biology,Full-time Job,PhD,2,Partial,IUT,Rejected
University of Nebraska-Lincoln,3.07,297,103,7.4,0,Physics,None,MS,2+,Partial,NSU,Rejected
University of Maryland,3.44,302,83,7.7,0,Mathematics,Internship,PhD,3,None,BRAC,Rejected
University of Arizona,3.47,307,102,8.0,0,ME,Internship,MS,0,Full,KUET,Rejected
University of Wyoming,3.82,308,96,7.8,2,ME,None,PhD,2+,Full,IUT,Rejected
University of North Carolina at Chapel Hill,2.94,298,85,7.7,2,Mathematics,Internship,PhD,1,Partial,CUET,Accepted
University of Rhode Island,3.34,305,111,7.7,1,CE,Full-time Job,MS,3,None,IUT,Rejected
Stevens Institute of Technology,3.21,322,100,7.2,2,CE,None,PhD,2+,None,BUET,Accepted
University of Maryland,3.52,328,99,7.6,0,Physics,Full-time Job,MS,0,Partial,RUET,Rejected
Columbia University,3.27,325,95,7.3,0,Mathematics,Full-time Job,MS,0,None,KUET,Rejected
Fordham University,2.7,308,93,6.7,0,ME,Full-time Job,MS,0,Partial,CUET,Rejected
Stony Brook University,3.66,315,94,7.5,0,Mathematics,None,PhD,3,None,RUET,Accepted
University College Dublin,3.17,309,110,6.8,0,Mathematics,None,PhD,3,None,BRAC,Rejected
Carnegie Mellon University,3.28,315,94,7.7,1,CE,None,MS,3+,Full,DU,Accepted
West Virginia University,3.31,315,102,6.6,2,EEE,None,MS,0,None,BRAC,Rejected
Rensselaer Polytechnic Institute,3.24,324,102,7.9,0,CE,Internship,MS,3,Full,BRAC,Rejected
University of Massachusetts Amherst,3.57,305,89,6.9,2,Mathematics,Internship,PhD,2+,Full,RUET,Rejected
Virginia Tech,3.48,316,94,6.9,1,EEE,Internship,PhD,0,Partial,KUET,Accepted
University College Dublin,3.24,309,86,7.8,0,Physics,Internship,PhD,1,None,BUET,Rejected
Case Western Reserve University,3.54,327,96,7.5,0,Biology,None,PhD,0,Partial,RUET,Accepted
Massachusetts Institute of Technology,3.48,308,81,7.6,1,Mathematics,Internship,PhD,3+,None,DU,Rejected
University of South Florida,3.45,302,90,7.4,2,EEE,Full-time Job,MS,0,None,BUET,Accepted
Texas State University,3.11,334,104,7.4,0,EEE,None,PhD,2+,None,BUET,Rejected
Oklahoma State University,3.65,308,95,7.5,0,Biology,Internship,PhD,3,Full,DU,Accepted
The University of Texas at Arlington,3.29,303,102,8.1,2,EEE,Full-time Job,PhD,2,Partial,RUET,Accepted
Case Western Reserve University,3.28,300,99,7.6,0,Biology,Internship,MS,2,None,BRAC,Rejected
University of Maryland,3.54,304,115,7.3,1,Biology,Full-time Job,MS,3,Full,IUT,Rejected
University of Rhode Island,3.42,313,119,7.2,0,EEE,Full-time Job,MS,3+,Partial,NSU,Rejected
University of Chicago,3.76,299,99,8.0,0,EEE,Full-time Job,MS,0,Partial,IUT,Accepted
Oklahoma State University,3.25,314,106,8.2,0,Physics,Full-time Job,MS,0,Partial,IUT,Accepted
"University of California, Irvine",3.49,307,115,7.7,0,Mathematics,None,PhD,3+,None,DU,Accepted
Kansas State University,3.08,309,111,6.8,1,EEE,Full-time Job,MS,3+,None,BRAC,Rejected
Cornell University,3.35,306,102,7.1,0,CSE,None,MS,3+,Full,CUET,Accepted
Washington State University,3.47,300,99,7.3,0,Physics,Internship,MS,3,Partial,BRAC,Rejected
University College Dublin,3.1,302,112,7.0,0,Mathematics,Internship,MS,3,Full,RUET,Rejected
University of Windsor,3.42,316,111,7.9,1,Biology,Full-time Job,MS,1,None,DU,Accepted
Michigan State University,2.88,312,83,7.5,1,Physics,Full-time Job,PhD,3,None,KUET,Accepted
University of Southern California,3.44,323,97,7.7,2,EEE,Internship,MS,2+,None,CUET,Rejected
Saint Louis University,3.23,313,85,7.1,0,Physics,None,PhD,1,None,DU,Rejected
Duke University,3.46,337,103,7.8,0,Biology,Internship,PhD,3+,None,RUET,Accepted
Clemson University,3.87,311,85,7.0,1,ME,Full-time Job,PhD,2+,Partial,BRAC,Rejected
Massachusetts Institute of Technology,3.85,332,119,0,0,EEE,Internship,MS,5,None,Tsinghua,Accepted
Massachusetts Institute of Technology,3.91,337,120,0,0,ECE,Internship,PhD,4,None,Tsinghua,Accepted
Massachusetts Institute of Technology,3.95,335,115,0,0,CSE,Full-time Job,PhD,5,Full,KAIST,Accepted
Massachusetts Institute of Technology,3.97,329,117,0,0,EEE,Full-time Job,MS,5,None,NTU,Accepted
Massachusetts Institute of Technology,3.89,334,111,0,0,ECE,Internship,PhD,3,Full,BUET,Accepted
Massachusetts Institute of Technology,3.86,328,117,0,1,ME,Internship,MS,2,Partial,BUET,Accepted
Massachusetts Institute of Technology,3.99,332,113,0,1,ECE,No,PhD,4,None,Tsinghua,Accepted
Massachusetts Institute of Technology,3.88,328,116,0,0,CSE,Full-time Job,PhD,2,Partial,IIT Delhi,Accepted
Massachusetts Institute of Technology,3.98,329,115,0,0,CSE,Internship,MS,1,Full,BUET,Accepted
Massachusetts Institute of Technology,3.95,330,115,0,0,ECE,Full-time Job,PhD,4,Partial,IIT Delhi,Accepted
Stanford University,3.9,331,118,0,0,CSE,Internship,PhD,4,Full,Tsinghua,Accepted
Stanford University,3.97,340,114,0,1,ME,Internship,PhD,4,Full,UIUC,Accepted
Stanford University,3.86,327,116,0,1,CSE,Full-time Job,PhD,4,Full,KAIST,Accepted
Stanford University,3.92,332,116,0,1,ECE,Internship,MS,1,Full,NTU,Accepted
Stanford University,3.99,331,117,0,0,EEE,Internship,MS,5,Partial,BUET,Accepted
Stanford University,3.88,325,119,0,0,ME,Full-time Job,MS,4,Full,BUET,Accepted
Stanford University,3.87,328,112,0,0,EEE,Full-time Job,PhD,1,None,Tsinghua,Accepted
Stanford University,3.89,331,115,0,0,ECE,No,PhD,2,Partial,UIUC,Accepted
Stanford University,3.86,331,114,0,0,CSE,Internship,MS,2,None,BUET,Accepted
Stanford University,3.99,334,112,0,0,ME,Internship,PhD,2,None,BUET,Accepted
Carnegie Mellon University,3.87,331,117,0,0,EEE,Full-time Job,MS,5,Full,BUET,Accepted
Carnegie Mellon University,3.94,331,117,0,1,EEE,No,PhD,1,Partial,Tsinghua,Accepted
Carnegie Mellon University,3.87,331,115,0,0,CSE,Full-time Job,PhD,5,Partial,Tsinghua,Accepted
Carnegie Mellon University,3.94,327,111,0,0,CSE,No,PhD,5,Partial,KAIST,Accepted
Carnegie Mellon University,3.89,338,112,0,0,CSE,Internship,MS,3,Partial,IIT Delhi,Accepted
Carnegie Mellon University,3.92,336,117,0,0,CSE,Internship,MS,3,Partial,IIT Delhi,Accepted
Carnegie Mellon University,3.87,328,120,0,0,EEE,Internship,PhD,4,Full,BUET,Accepted
Carnegie Mellon University,3.92,340,117,0,0,EEE,No,MS,2,None,IIT Delhi,Accepted
Carnegie Mellon University,3.94,333,111,0,0,EEE,Full-time Job,PhD,1,Partial,NTU,Accepted
Carnegie Mellon University,3.88,338,112,0,0,EEE,Internship,PhD,3,None,Tsinghua,Accepted
California Institute of Technology,3.92,325,111,0,1,ECE,Full-time Job,MS,2,None,BUET,Accepted
California Institute of Technology,3.98,338,119,0,0,EEE,No,PhD,5,None,BUET,Accepted
California Institute of Technology,3.99,329,110,0,0,EEE,Internship,PhD,5,Partial,BUET,Accepted
California Institute of Technology,3.93,337,114,0,0,EEE,No,MS,1,None,IIT Delhi,Accepted
California Institute of Technology,3.9,332,116,0,0,ME,Internship,PhD,4,None,BUET,Accepted
California Institute of Technology,3.92,331,118,0,1,ME,Internship,MS,1,Full,KAIST,Accepted
California Institute of Technology,3.89,331,120,0,0,CSE,No,MS,1,Partial,IIT Delhi,Accepted
California Institute of Technology,3.94,332,117,0,0,CSE,Full-time Job,MS,5,None,Tsinghua,Accepted
California Institute of Technology,3.96,332,112,0,0,ME,No,PhD,2,Partial,UIUC,Accepted
California Institute of Technology,3.99,336,116,0,0,ME,Internship,PhD,3,None,BUET,Accepted
"University of California, Berkeley",3.93,328,116,0,0,EEE,No,MS,4,None,IIT Delhi,Accepted
"University of California, Berkeley",3.88,331,118,0,0,CSE,Internship,PhD,3,None,Tsinghua,Accepted
"University of California, Berkeley",3.96,330,119,0,0,ECE,Internship,MS,4,Partial,IIT Delhi,Accepted
"University of California, Berkeley",3.91,334,113,0,0,CSE,Full-time Job,PhD,5,Full,NTU,Accepted
"University of California, Berkeley",3.93,330,120,0,0,CSE,Full-time Job,PhD,4,None,Tsinghua,Accepted
"University of California, Berkeley",3.9,338,113,0,0,ME,Internship,PhD,5,None,NTU,Accepted
"University of California, Berkeley",3.89,328,114,0,0,ME,No,PhD,4,Full,Tsinghua,Accepted
"University of California, Berkeley",3.9,326,120,0,0,CSE,No,PhD,5,None,BUET,Accepted
"University of California, Berkeley",3.96,337,118,0,1,ECE,Full-time Job,MS,1,None,Tsinghua,Accepted
"University of California, Berkeley",3.92,330,111,0,0,EEE,Full-time Job,PhD,2,Full,BUET,Accepted
Princeton University,3.88,340,110,0,1,CSE,Full-time Job,PhD,4,Full,NTU,Accepted
Princeton University,3.92,338,111,0,1,EEE,Internship,PhD,1,Full,NTU,Accepted
Princeton University,3.99,325,113,0,0,ECE,Internship,PhD,5,None,IIT Delhi,Accepted
Princeton University,3.86,336,113,0,0,ECE,Full-time Job,MS,1,None,BUET,Accepted
Princeton University,3.96,335,113,0,0,CSE,Internship,MS,4,Full,BUET,Accepted
Princeton University,3.95,331,120,0,0,ME,Full-time Job,MS,4,Partial,KAIST,Accepted
Princeton University,4.0,340,115,0,1,ME,Full-time Job,MS,4,Partial,Tsinghua,Accepted
Princeton University,3.96,325,113,0,1,ME,No,MS,3,Full,BUET,Accepted
Princeton University,3.86,332,111,0,0,CSE,Internship,PhD,2,Partial,NTU,Accepted
Princeton University,3.99,326,110,0,0,CSE,Internship,MS,4,None,UIUC,Accepted
Harvard University,3.92,333,110,0,0,ECE,Internship,MS,1,None,NTU,Accepted
Harvard University,3.97,337,111,0,1,ME,No,MS,4,Full,IIT Delhi,Accepted
Harvard University,3.89,325,113,0,0,EEE,No,MS,4,Partial,BUET,Accepted
Harvard University,4.0,338,110,0,0,CSE,Internship,MS,2,Partial,KAIST,Accepted
Harvard University,3.98,337,115,0,0,ECE,Full-time Job,PhD,5,None,BUET,Accepted
Harvard University,3.88,328,114,0,0,ECE,No,MS,2,None,Tsinghua,Accepted
Harvard University,3.88,337,114,0,0,ECE,No,PhD,4,Full,BUET,Accepted
Harvard University,3.96,330,114,0,0,ME,Full-time Job,MS,1,Full,IIT Delhi,Accepted
Harvard University,3.95,335,116,0,0,CSE,No,MS,1,Full,NTU,Accepted
Harvard University,3.99,325,116,0,0,ME,Internship,PhD,5,None,NTU,Accepted
Columbia University,4.0,326,118,0,0,CSE,Internship,MS,3,Partial,UIUC,Accepted
Columbia University,3.98,340,115,0,0,CSE,No,MS,4,Full,KAIST,Accepted
Columbia University,3.88,337,114,0,1,ECE,Internship,PhD,1,Full,UIUC,Accepted
Columbia University,3.99,336,111,0,1,ME,Internship,MS,2,Full,IIT Delhi,Accepted
Columbia University,3.96,325,115,0,0,ME,Full-time Job,PhD,2,None,NTU,Accepted
Columbia University,3.94,326,119,0,0,ECE,Full-time Job,PhD,2,Partial,NTU,Accepted
Columbia University,3.9,332,112,0,0,ME,No,PhD,4,Partial,NTU,Accepted
Columbia University,3.87,325,115,0,0,CSE,Full-time Job,PhD,2,Full,BUET,Accepted
Columbia University,3.87,329,110,0,0,ME,Full-time Job,PhD,2,Full,UIUC,Accepted
Columbia University,3.94,329,120,0,0,EEE,No,PhD,5,Full,IIT Delhi,Accepted
University of Chicago,3.92,333,111,0,0,CSE,No,PhD,3,Partial,IIT Delhi,Accepted
University of Chicago,3.93,328,112,0,1,ME,Full-time Job,PhD,2,None,NTU,Accepted
University of Chicago,3.9,338,110,0,0,ECE,Internship,PhD,4,None,UIUC,Accepted
University of Chicago,3.99,340,118,0,1,EEE,Full-time Job,MS,4,Partial,NTU,Accepted
University of Chicago,3.98,332,120,0,0,CSE,Full-time Job,PhD,3,Full,UIUC,Accepted
University of Chicago,3.91,333,118,0,0,CSE,No,PhD,2,Partial,KAIST,Accepted
University of Chicago,3.9,340,114,0,0,ME,No,PhD,5,Full,NTU,Accepted
University of Chicago,3.99,325,113,0,0,CSE,Internship,PhD,4,None,NTU,Accepted
University of Chicago,3.94,329,117,0,0,CSE,Full-time Job,PhD,3,Partial,Tsinghua,Accepted
University of Chicago,3.9,329,118,0,0,CSE,No,PhD,4,Full,IIT Delhi,Accepted
Yale University,3.89,335,112,0,0,CSE,Full-time Job,MS,3,Full,Tsinghua,Accepted
Yale University,3.96,329,114,0,0,EEE,No,MS,3,Partial,Tsinghua,Accepted
Yale University,3.9,339,120,0,0,ECE,Full-time Job,PhD,2,Partial,UIUC,Accepted
Yale University,3.86,330,115,0,1,CSE,Full-time Job,MS,1,Full,Tsinghua,Accepted
Yale University,3.97,331,112,0,0,ME,Internship,PhD,2,Partial,IIT Delhi,Accepted
Yale University,3.92,328,117,0,1,CSE,Full-time Job,MS,4,Full,NTU,Accepted
Yale University,4.0,340,118,0,0,EEE,Internship,MS,1,Partial,Tsinghua,Accepted
Yale University,3.86,330,118,0,0,CSE,Internship,PhD,1,Full,KAIST,Accepted
Yale University,3.95,338,112,0,0,ME,Full-time Job,MS,2,None,UIUC,Accepted
Yale University,3.91,331,117,0,0,ME,Full-time Job,PhD,2,None,KAIST,Accepted
University of Pennsylvania,3.99,337,116,0,0,ECE,Internship,MS,5,None,KAIST,Accepted
University of Pennsylvania,3.87,335,114,0,1,EEE,Internship,PhD,4,Partial,IIT Delhi,Accepted
University of Pennsylvania,3.89,328,110,0,0,ME,Full-time Job,MS,5,Full,IIT Delhi,Accepted
University of Pennsylvania,3.98,325,112,0,1,EEE,Full-time Job,MS,4,Full,Tsinghua,Accepted
University of Pennsylvania,4.0,328,116,0,0,ECE,Full-time Job,PhD,5,None,IIT Delhi,Accepted
University of Pennsylvania,3.95,332,117,0,0,ME,Full-time Job,MS,1,Partial,IIT Delhi,Accepted
University of Pennsylvania,3.89,328,110,0,0,EEE,No,MS,5,Partial,IIT Delhi,Accepted
University of Pennsylvania,3.94,340,118,0,1,EEE,Internship,PhD,5,None,UIUC,Accepted
University of Pennsylvania,3.97,335,117,0,0,ME,Internship,MS,1,Partial,BUET,Accepted
University of Pennsylvania,3.94,327,113,0,0,ECE,Internship,MS,1,Full,NTU,Accepted
Cornell University,3.9,339,113,0,0,EEE,Full-time Job,PhD,3,Partial,Tsinghua,Accepted
Cornell University,3.96,326,115,0,0,CSE,No,MS,2,Full,NTU,Accepted
Cornell University,3.94,337,119,0,0,EEE,No,PhD,2,Partial,Tsinghua,Accepted
Cornell University,3.98,332,117,0,0,CSE,Internship,PhD,2,None,IIT Delhi,Accepted
Cornell University,3.96,338,115,0,0,EEE,Internship,MS,5,Full,Tsinghua,Accepted
Cornell University,3.86,339,110,0,0,EEE,Internship,PhD,3,Partial,UIUC,Accepted
Cornell University,3.89,336,110,0,0,EEE,Full-time Job,PhD,1,None,Tsinghua,Accepted
Cornell University,3.88,339,113,0,1,ME,Internship,MS,4,None,BUET,Accepted
Cornell University,3.91,331,112,0,0,CSE,Full-time Job,MS,4,None,UIUC,Accepted
Cornell University,3.95,327,115,0,0,EEE,No,MS,1,None,IIT Delhi,Accepted
"University of California, Los Angeles",3.93,334,111,0,0,ECE,Internship,MS,3,None,IIT Delhi,Accepted
"University of California, Los Angeles",3.9,326,114,0,0,ECE,Full-time Job,MS,3,None,BUET,Accepted
"University of California, Los Angeles",3.9,325,117,0,0,ME,Internship,MS,5,Full,BUET,Accepted
"University of California, Los Angeles",3.91,328,111,0,0,EEE,Full-time Job,PhD,1,None,UIUC,Accepted
"University of California, Los Angeles",3.93,338,117,0,0,ME,No,PhD,3,Full,UIUC,Accepted
"University of California, Los Angeles",3.93,332,111,0,0,CSE,No,MS,3,None,IIT Delhi,Accepted
"University of California, Los Angeles",3.9,327,111,0,1,ME,Full-time Job,MS,4,Partial,KAIST,Accepted
"University of California, Los Angeles",3.96,335,114,0,1,EEE,Internship,MS,4,Full,Tsinghua,Accepted
"University of California, Los Angeles",3.97,337,112,0,0,ECE,Internship,MS,4,None,IIT Delhi,Accepted
"University of California, Los Angeles",3.91,331,118,0,1,ME,Internship,PhD,4,Partial,KAIST,Accepted
"University of California, San Diego",3.94,337,118,0,0,CSE,Full-time Job,MS,5,Full,UIUC,Accepted
"University of California, San Diego",3.97,338,120,0,0,CSE,Full-time Job,MS,4,Partial,NTU,Accepted
"University of California, San Diego",3.85,331,115,0,0,ME,Internship,MS,3,None,NTU,Accepted
